dataset_name,kmeans-DBA-DTW,kmeans-ED,kmeas-ShapeDBA-ShapeDTW,kmeas-SoftDBA-SoftDTW,KShape
ACSF1,0.17228551490605523,0.17686995336873487,0.17372097771973477,0.18899139242514867,0.1592250971402632
Adiac,0.27109710177747576,0.24541238253856937,0.3469517089392792,0.3718304007465908,0.0845730549575306
AllGestureWiimoteX,0.18178584668029424,0.06208058296200888,0.21936459466793176,0.22965451040266743,0.2306625214109841
AllGestureWiimoteY,0.2037258372650376,0.053208904844662654,0.2671760060114672,0.25417662912240024,0.28337460861720537
AllGestureWiimoteZ,0.10768269373279052,0.07565279888222448,0.1478837125087732,0.12354781844766875,0.14938531435556182
ArrowHead,0.2197039261563442,0.19909378049363408,0.24957825057550131,0.20947153687400705,0.1901577938937945
BME,0.3581852028045317,0.18299815300864547,0.3624765397209511,0.459924846560826,0.23215394152548172
Beef,0.08677985097015029,0.11270961012423368,0.0977739529465499,0.089847341888576,0.10931119857153289
BeetleFly,0.09279303132742839,0.02388852386707306,-0.0065922608286542814,0.18044481579056007,0.01995853560003752
BirdChicken,-0.014183845821131639,0.01065772860763318,-0.01276689814355086,-0.013930333720586576,0.0149960536700868
CBF,0.33521082439412886,0.32038715172524185,0.3938577605155606,0.74757565052632,0.6126022601421868
Car,0.08330439065818687,0.14337320123160158,0.10406517883112754,0.08260760204103149,0.12182663701958643
Chinatown,0.4543351191364259,0.20690687169092375,0.033513687926979736,0.45369719026793154,0.15197161774647536
ChlorineConcentration,-0.0008446443890060634,-0.0005994841132964,0.0003221278460703199,-0.0007574452433224323,0.00134722638128452
CinCECGTorso,0.07799433039361478,0.12756845278308368,0.0671368143191049,0.028737744145008404,0.032580365466613484
Coffee,0.6688456906932737,0.50141895275722,0.6581443403307834,0.6103468924742972,0.50141895275722
Computers,0.016589186707913574,0.000631163324689138,0.005461916181702881,0.04247459348157784,0.03674793020870904
CricketX,0.18656811862162542,0.09028380147245689,0.20475894130569888,0.249417911040989,0.17457358119658362
CricketY,0.21443749167177922,0.11574584449438566,0.2233877081506988,0.2449448234999448,0.18939535127262222
CricketZ,0.19549109223327882,0.10200622530457573,0.20435472006134453,0.244847776296819,0.16619729163512847
Crop,0.24711560629046062,0.26439051877471903,0.24411959595618243,0.21594806945786135,0.2197189995169268
DiatomSizeReduction,0.5465786966123896,0.8559200908972147,0.9003672715592133,0.7202470921269646,0.6930832004163688
DistalPhalanxOutlineAgeGroup,0.30938107813969795,0.28424924044497285,0.31221495453071096,0.3095186417753384,0.3488742282924976
DistalPhalanxOutlineCorrect,0.0005223138237355,-0.0010676946884694,-0.0007138997741408,0.0017863124111836,-1.5827299419260015e-05
DistalPhalanxTW,0.3935553365300282,0.39930689836841604,0.39314039121838396,0.3886878208622341,0.367623008819951
DodgerLoopDay,0.19732125956253385,0.22523948342820108,0.1854258786378773,0.19319929472758957,0.04327814993802772
DodgerLoopGame,0.1409890351432314,0.01661230358815418,0.2914951585759276,0.16883180634366268,-0.0011210319072838199
DodgerLoopWeekend,0.47941591982146337,0.8494065884215166,0.5077470890498619,0.4714987840012853,-0.0013976732666298995
ECG200,0.19801512861838155,0.19939794519363138,0.16340719513881713,0.09355798814851743,0.21972867809402757
ECG5000,0.47715325781485607,0.5284368917401772,0.5007393995289823,0.3951480042537579,0.5083861171824643
ECGFiveDays,0.01147403156194714,0.00023509557399909998,0.041920665940620536,0.010952227885237637,0.7574144615707814
EOGHorizontalSignal,0.19732974830353475,0.18263332485322095,0.2497531052423954,0.21370514841943072,0.2154400622039918
EOGVerticalSignal,0.18090264373704806,0.16486439064949576,0.19846755115645767,0.2114315580584382,0.20316058550543353
Earthquakes,-0.04230845042211496,0.00102658124543434,-0.0013892603249945398,-0.042614121367991295,0.01418815362795564
ElectricDevices,0.25359345794689325,0.1408551693094519,0.22860475557329893,0.22057524043494392,0.1296380385818914
EthanolLevel,0.00242105043731614,0.00462210498974382,0.00227397819247268,0.00114969186531692,0.0040431401467545605
FaceAll,0.5130410062532522,0.22142632328416126,0.6007665915931237,0.4948071528901786,0.33780974010844916
FaceFour,0.417499777781586,0.3308388872198258,0.42926548319159713,0.47141673709143905,0.38579067873709294
FacesUCR,0.44013500933385263,0.19475526955935935,0.5476623789961191,0.44910528678226325,0.3764762356935361
